id,text,label
18,期待这一天的到来#元畅依晨#隐婚三年终于曝光。。。。。哈哈哈哈哈哈元畅依晨你们神马都不用说、不用解释了。。。。我们都懂你们。。。@CC宝贝们来观看一下。。。。。给力一下哈哈。。。,1
19,传说中的麦当劳全国通用无线上网密码，真的吗？,1
20,懂得沙士比亞的計程車司機,0
21,【“顶花”黄瓜或有猫腻，生长剂含避孕药】据青岛新闻网，顶着鲜艳黄花的黄瓜，通常在市场上受欢迎。但许多这样的黄瓜是用植物生长调节剂“扮嫩”的。有小贩爆料，黄瓜如果正常生长，采摘时早就谢，顶花黄瓜肯定是抹过药，甚至是避孕药配制的激素药。http://sinaurl.cn/h5IPDq,1
22,【[吃惊] 喝咖啡可能会让你的胸部变小】瑞典科学家的一项最新发现指出，女孩每天喝咖啡若超过三杯，她们的乳房可能会变小。 因为半数女性体内含有一种特殊基因，由于这种基因，当她们摄入咖啡因时，乳房就会缩小。以星巴克LOGO为证！,1
23,iPhone 5粉红款！女生的最爱！ iPhone 5首次曝光，即将上市。1.5GHz A4处理器，使用全新材质氮涂层外壳，这种氮涂层外壳具有防划防磨的特效。800万传感器，而且iPhone 5完全解决了信号问题，并将支持4G连接，拥有32GB内存或64GB 。喜欢的话，转发哈！[互粉],1
24,看完之后手机还敢放床头吗？ http://sinaurl.cn/hbfuVo,1
25,落后装备,0
26,[抓狂] 转：【人民网揭出惊天黑幕：中国75%电表都被蓄意加速】针对供电计量上的“缺斤短两”，国家技术监督局对全国17个省的企业生产的34种电表进行了抽检，发现，75％的电表都出现了正误差。偏差最大的要快28％，大多数快10％左右，也就是说居民要无端地多掏10％—28％的电费！ @全球新鲜资讯,1
27,刚才看到摩根斯坦利季卫东新鲜出炉的报告，其中提到：用户已是QQ三分之一的新浪微博如果价值能够达到腾讯的10%，那么微博的长期期权价值应该已达到50亿美元（此前我曾认为30-40亿美元比较合理）。虽然卫东的这个假设有点生硬，但它提出了一个有意思的问题：新浪正面挑战腾讯的时代到来了吗？（明天续）,0
28,【冷技巧：考试前先憋尿】荷兰Twente大学的Mirjam发现在做”选择题“时，膀胱越涨做出的答案会更准确。在实验中他找来自愿者，让他们在喝水后回答一些问题，结果是喝水多的小组做出的答案更加准确。当人憋尿憋到一定境界时，大脑就会高速运转，以快速解决面前的问题，好快点去撒尿。那么，你要试试么？,1
29,【视频：陈佩斯主持《焦点访谈》】其实我们不知道，早期的《焦点访谈》曾经是由陈佩斯主持的，一开场就笑了...http://sinaurl.cn/h5pIM7,1
30,几天前，一人在家中给手机充电。就在此时，电话铃响，他没有拔下充电器便直接接听。几秒之后，强大电流通过手机，年轻人被击倒在地。他的父母冲进房间，发现他已失去了意识，心跳微弱，手指烧焦。他被立即送往医院，但是到达时即被宣布死亡。请转发给您关爱的人~,1
31,在iPad 2发售几小时后，国外玩家就已经对它进行了拆解。想了解如此轻薄的机身如何容纳下这么多器件，请看iPad 2拆解图集   http://sinaurl.cn/htLUzF,0
32,@随手拍解救大龄女青年 前同事，湘妹子独自拼搏在京，就职媒体，海拔163，肤如凝脂面若桃花婀娜多姿曲线玲珑，性格火辣却不失温存，积极热情而不张扬跋扈，自称29年来第一资深少女，奔三年代依然坚信王子伯乐不会轻易出现。愿对方为勇敢热情上进担当之纯爷们，用娱乐的方式而不是态度去生活，有意私信,0
33,说个趣闻。美国伊利诺斯州35岁男子凯斯去年9月在一次交通事故中，失去男性生殖器。幸运的是，美国医生当天就为移植了一名死于心脏病的美国男子迈克的生殖器。康复后，凯斯向捐赠者迈克的遗孀达拉表示感谢时，两人一见钟情，堕入爱河！目前，两人的离奇恋情，终于开花结果。,1
34,要说情话，此句最好：有人问我你到底是哪里好，这么多年我还忘不了，春风再美也比不上你的笑，没见过你的人不会明了……李宗盛。,0
35,"#跟我学洗手#小花喵带着偶们家滴kitty小宝来参加啦[兔子] 偶们滴口号是:勤洗手讲卫生,健康快乐我做主 http://t.cn/h1B7nK @滴露官方微博",0
36,各大浏览器的崛起(和消亡)。@月光博客,0
37,砖家证实接吻也可怀孕，哥表示鸭梨很大！,1
38,眼神好美~~~~~~~~~~3俗了没》？？？？,0
39,公告：《爱情公寓》第三季，将在今晚(4月1号)黄金时段，中央电视台“CCTV8”电视剧频道，隆重开播。,1
40,①，哈尔滨宝马撞人案，1死12伤，你判定是操作失误。②，李刚之子撞人案，1死1伤，你说他悔罪态度较好，酌情从轻处罚。③，钱云会被碾死，你说是正常交通事故。④，药家鑫撞人杀人，连捅八刀致人死命，你说是激情杀人，让他上央视悔过。⑤，呵呵，我们记录一下，你都要河蟹，那只有祝你清明节快乐了。,0
41,我们俩口子刚刚领到了结婚证，简直不敢相信，同性恋可以结婚了，广州民政局太给力了！,1
42,新的骗局又来了。如果你收到任何一个电话（包括10086或10010）说是在检查你的手机线路，并要求你按#或其它任何按键，请不要按那些键，并马上结束通话。那是一家欺诈公司，他们的机器能在你按下这些键后，连接到你的SIM卡，并用你的钱来打电话。把这消息转发给尽可能多的朋友，阻止这项欺诈。,1
43,【为了孩子，请拒吃转基因食品！】印度某地的羊吃了棉花收获后的草杆后，四分之一的羊死了，约5到7天内，该地区10000只羊死掉了。菲律宾和德国牲畜食用某些种类的转基因玉米后死亡了。美国农民因为喂养了某些BT玉米引起他们的猪牛绝育了。转基因食品削弱生殖能力、人体微生物平衡，吃了就是慢性自杀！,1
44,听说卢湾区要撤消了，并入黄浦区了。这应该是继南汇区并入浦东新区后的第二例并区政策。卢湾和黄浦的合并终于定局，4月1日起卢湾区四套班子及各下属部门人权财权全部冻结，3个月后新黄浦区正式挂牌。（图为80、90年代南京路西藏路口的环形人行天桥，连接了中百公司，新世界，精品商厦）,0
45,CCAV说了！2012是真的，美国三分之二都保不住了 http://t.cn/hG58JY      @染香 @不加V @江小鱼 @司马平邦 @老沉 @微博辟谣,1
46,预报：福岛沿岸第一波海啸8分后到！,1
47,请大家留意以下信息：“公安厅发来的信息：如果你收到“2011年五一放假调整通知”的网址。在任何环境下请不要打开它，且立即删除它。如果你打开了它，你会失去个人电脑上的一切东西.这个网址隐藏新的病毒，已经确认了它的危险性，而杀毒软件不能清除它。他的目标是摧毁个人电脑。,1
48,【这事，你怎么看？】3月25日晚，杭州四季青附近，一个姑娘被一个男人拖进树丛。男人抢过她的拎包，翻了半天，只翻出一只杂牌手机和12元钱。“你怎么这么穷？”男人一脸同情，然后拍拍她肩膀，豪气地说：“你在这里等我，我去抢点钱给你打车回家！”……,1
49,太恐怖了吧，但愿只是明星的自我炒作！http://t.cn/hryisl,0
50,[他就是药青伟？] 药家鑫在看守所唱《传奇》的视频泄露之后，细心的@再见华尔街 发现台下领导席中坐着一位军装男子(第5分钟开始出现)，@云中鹤138 认为：他可能就是药家鑫父亲药青伟，是总后西安军事代表局驻西安的军代表。正团级军衔，副师级待遇。http://t.cn/hBm1vl,1
51,小薇老师说，作为一个男人，你不抽烟不喝酒也就算了，要是还不好色那活着还有什么意义…,0
52,你猜这粉红东东是神马??冰淇淋??奶油??NO！这是通过机器分离后的鸡！它是出现在各种快餐中鸡块的原型。理论上这包括了一整只鸡（鸡肉，鸡骨头，脑袋等）。为防止生细菌，它平时会浸泡在氨水中；为让它更美味，会加各种人工添加剂；为让它的颜色正常些，会添加人工色素。你以后还敢吃吗???,1
53,当你接近23岁，就耐心的看一下！无论工作还是爱情，会让你成熟许多~~[耶],0
54,上海5月10日起出租车起步费上调至15块 单价每公里3.1元 夜间起步费18块 魔都就是魔都 生活在魔都的人们伤不起,1
55,巴黎慵懒的午后，羡慕S人了！！还对着电脑在上班的人伤不起啊！！！,0
56,杰克逊看了这个视频 从坟墓里爬出来哭了…… http://t.cn/bHTNv,0
57,『热预告』最新猫猫电影《我和你》电影预告片！看了15秒就被那只萌猫秒杀了，太太太可爱鸟！坂本真绫在本片中参与献声哦!5月14日日本上映！http://t.cn/hrYWD8,0
58,C-walk - I love the rain- Claude Kelly，刚开始了解这种舞步，好美，歌也很好听哦！ http://t.cn/5yyTy,0
59,在这个高贵的国家里，菜贵伤民，菜贱伤农。是因为从农村到城里，一路路过了敌占区吗？,0
60,萨摩耶各种表情各种萌 。,0
61,有消息称，沈阳电视台5月将与辽宁广播电视台合并，又称，年底辽宁省7个城市台都将合并到省台。这是什么模式，是否未来会形成有专家建议的“七大区”？,0
62,＜单身男女＞古天乐代表多数男生的心思，而吴彦祖反映了多数女生的希望。爱很简单，不是因为布制条幅输给了摩天大楼灯光，而是因为一个人能说到，一个人能做到。女人更需要安全感和稳定!告訴所有男人一個道理，不要以為你已經很用心，她沒選擇你是因為還有比你更用心的男人。,0
63,现在的广告害死小学生 [衰],0
64,酷！艾薇儿现场超强翻唱Ke$ha神曲TiK ToK！超爱这个编曲！ http://t.cn/htjA04,0
65,毛新宇 深情演唱新作《献给爷爷奶奶的歌》 http://t.cn/h1R0Rj,0
66,如果没有人相信你，那就自己相信自己；如果没人欣赏你，那就自己欣赏自己；如果没人祝福你，那就自己祝福自己。用心去触摸属于自己的阳光，用爱去创造属于自己的时空。当自己读懂了自己，世界才能读懂你。,0
67,看了新闻感慨：大运会火炬，怎么跟烤土豆片儿似的，中间还有彩椒和洋葱 ~,0
68,浮躁风气较盛的今天，并不是没有认真做事的人。但是，“认真”的利益选择性和目的导向性，使很多表面光鲜、有好处的事做得一丝不苟、精益求精；而涉及他人利益、默默无闻的辛苦事大多敷衍了事、得过且过。到底有没有一个让人“认真”的普国价值？,0
69,[心] 女孩身上某个器官，爸爸碰两次，男朋友碰一次，老公一次都不能碰。大家猜猜是答案是什么~~,0
70,不要去在意所经历的事情是否值得，最重要的是自己是否愿意。晚安。[月亮],0
71,【夜宴紫禁城】夜宴紫禁城——这是故宫最新最时尚的用途。只不过，这一时尚与普通人无关，夜宴的朱漆大门只向“拥有尊荣地位的高端人群”打开。 http://t.cn/hejQWN,0
72,徐冰说：素描《大卫》的练习使他从一个粗糙的人变成了一个精致的人。在画的过程中，徐冰试图展现出自己的所有绘画能力，直到没有什么可以施展时为止，也就是把自己逼到画不下去的境地。他正是在这个“死地”发现了自己的擅长，也发现了自己的不擅长。并在这一过程中，学会了处理问题、控制问题的方法。,0
73,【6类杀精食物 吃傻下一代】一、炸鸡，含致癌物丙烯酰胺；二、啤酒，使尿酸沉积，肾小管阻塞肾脏衰竭；三、咖啡，压抑副交感神经减低性欲；四、豆腐，植物雌激素减少精子数；五、奶茶，反式脂肪酸减少男性荷尔蒙；六、腰子，含有重金属镉。不是吃啥补啥！！http://t.cn/heDXfi,1
74,"【爱鱼生的各位，要小心啦！】原来，日本人从来都不用三文鱼做刺身吃的。蔡澜：""正统的日本铺子，绝对不会卖三文鱼刺身，因为他们老早知道它的虫极多，只能用盐腌制过后烧熟来吃......三文鱼鱼肉颜色一直保持鲜红，即使腐坏了也不变，又闻不出异味......"" --- 爱鱼生的各位，要小心啦！via实用小百科",1
75,我该怎么办，ML的时候，老婆要我叫她观世音菩萨！[汗],0
76,"《单身男女》据知情人称:其实大家看到的是删减版结局,因为导演不想得罪吴彦祖的粉丝而影响影片票房。真正的结局是：高圆圆在所有人离开后,对吴彦祖说:对不起,我不想骗你,其实我爱的是他,刚才太多人我不想你难堪.然后戴上古仔的戒指离去,在门口发现在一直在等的伤心的古仔,俩人相拥而泣。你觉得怎么样？",1
77,【水知道答案】王岳川：日本科学家江本胜把一杯水放在巴赫、莫扎特、贝多芬的音乐中“听”了20分钟，用摄像仪把分子结构拍出来，水分子结构像钻石般瑰丽。他又把这杯水搁到重金属摇滚音乐中“听”了20分钟，拍出的分子结构近似于癌细胞结构。您知道您身上有多少水吗？70%。人的大脑里有多少水？90%。,1
78,继FBI 承认罗斯威尔事件 是飞碟坠毁后，罗斯威尔飞碟坠毁事件幸存外星人视频又被曝光 http://t.cn/hgo3Ce,1
79,#猫哥# 哎呀喂 ~ 在截 Taxi 吗 ? !,0
80,感人微电影《Leave Me 让我留下》(清晰中文字幕版) 太感人了，很棒的真人短片，真忍不住哭了！！一个刚经历丧妻之痛的丈夫整理妻子留下来的相机所发生的事，穿越时空之后…… http://t.cn/heDeO2,0
81,#奢侈品调价# Cartier 自7月1日起，手表类上涨3%，首饰类上涨7%。简单明了一句话，要行动的，要放弃的，自行决定吧。  @奢华购_兰泊,1
82,推荐≪华尔街日报≫今天出版的特别专题“人民币的崛起”。世界各地的记者从各个侧面对人民币在全球经济中的角色演变进行了深度分析与报道。http://t.cn/aoXXlY,0
83,【外媒：中国人结婚买房遏制全球经济复苏】西班牙《世界报》文章：按照中国传统，单身男子要想结婚就必须是自己房子的主人，而在今天，买房子需要一大笔钱。这就迫使很多人大幅度削减开支，控制消费以增加存款。如果说在全世界增长最快的市场上没有消费，那么全球经济就会停滞。http://t.cn/aomDRH,0
84,#糗生活# 今年江苏省的作文题是《拒绝平庸》……最短的作文只有一句话：老师，我拒绝写这个题目。老师沉吟片刻，痛苦地打了满分。 （via 徐卓阳）,1
85,[太阳] 万众期待! [太阳] 《帕丽斯眼中的世界》第一季第一集【中文字幕】已经出炉了!!! 大家赶紧来看吧! (别问我要下载地址以防有人商业用途) 另外大家如果听译能力过关又有无私贡献的精神快快加入我们的翻译字幕组行列吧!!!! enjoy! 多多转发让更多夏季剧荒的人看到吧!! http://t.cn/aKvLPs,0
86,#投资界内幕#继“曹国伟连续套现 新浪管理层不是第一大股东”后，发现情况似乎更严重：曹国伟等管理层已签订协议还未完成套现股票数量385万股，占MBO壳公司近70%，而不是225万股，分析师透露，剩下175万股将全部清空。观察人士说，曹国伟一年半前高调启动新浪MBO实质已变炒股票。http://t.cn/aKxvsy,0
87,香港检测出韩国农心辛拉面向中国内地销售的产品，塑化剂超标50倍，接近极限。-居然毒害了咱那么多年阿[泪],1
88,我们小时候没有汽车，骑自行车会很开心。我们没有华丽的衣服，穿的确良会也很自尊自爱。我们没有ipad，但是我们弹弹玻璃球也会开心快乐。我们在教室里是兄弟姊妹，内心没有贫富的差异。如今的孩子看上去得到了很多，其实却失去了一个少年儿童最应该具备的幸福感和健康身心。难道几十年中国教育错了吗？,0
89,泰坦尼克号续集《Jack is back》 大伙期待吧……[花心],1
90,《建党伟业》将在北美主流院线全面公映。片中一些演员非常兴奋，作品终于在自己的国家上映了。,0
91,当 天王杰克逊 遇上 SLASH ，当SLASH 遇上 Beat it ，看SLASH 大叔弹 Beat it  的味道 ~ 前面都是天王专场，2分55秒后有SLASH 大量镜头~~~  这样的现场只有一次。。再也无法重现了。。祝天堂的人一切安好。 http://t.cn/aKT4Sg,0
92,起开~~~别挡着我看美女……,0
93,谷歌语音搜索功能升级啦[哈哈]使用起来非常简单方便：只需说“天气”，就会帮你找到你所在城市近几天的天气；说“把tree翻译成中文”，就会帮你找到正确的翻译结果；说“新加坡到纽约”，就会帮你搜索航班信息。怎么样，方便吧？不过，谷歌暂时只能听懂英文哦。http://t.cn/aKB6SL,0
94,现离开祥和的小堡画家村，北大一天课，晚到武汉给市委领导讲课。接着福州、徐州、内蒙、湘潭和重庆调研和讲座。人在旅途，少了激情，多了无奈。昨清华讲课时，一地方领导告诉我，春节时他那个地方有被强拆的男子到我家哭诉，我曾给过他二千元，＂您被骗了，他并不缺这点钱＂。我说：我在救自己和子孙。,0
95,什么叫做真正的街舞！全世界的街舞都被这帮人玩遍了 2.42秒彻底崩溃 这才是街舞啊 你懂得  http://t.cn/hbIn6n,0
96,【友情转发招聘】别整天胡思乱想，能踏实干活，有网页设计经验。知人有信，作品集里，少掺点假。月薪5-6K，如工作优秀，可给些额外甜头~舍得网招设计助理，53844567@qq.com，你总监的照片如下。（美女总监找人，各位帮转一下哈～～～）,0
97,“组织”就是在你遇到困难时，他说无能为力；在你遇到不公时，他说要正确对待；在你权益受到侵害时，他说要顾全大局；在你受到诬陷时，他说你要相信组织；在需要人做出牺牲时，他说组织考验你的时候到了；当需要人冲锋陷阵时，他说是你坚强后盾；在你取得成功时，他说是组织培养的--周立波,0
98,今天小青大夫耍我签字，她要带全家去新加坡发展，巳被新加坡国立医院聘为住院医，她说在国内孩子教肓和住房的压力太大了。我非常伤心，精心从内科多位竞争者中挑选了她，来我科后多次送她到国外学习，为她做了长远的事业发展规划，应该说她的机会要远胜于她的内科同学们，这样的结局很无奈！,0
99,心理学家认为，每天凝望帅哥10分钟，健身效果相当于做30分钟有氧运动，持之以恒，平均寿命可延长四五年。。。,1
100,【女孩子必读的十本书】  你读过几本？1.张爱玲《倾城之恋》2.杜拉斯《情人》3.海蒂《性学报告》 4.村上春树《挪威的森林》5.渡边淳一《男人这东西》6.钱钟书《围城》 7.劳伦斯《查太莱夫人的情人》 8.泰戈尔《草叶集》 9.塞林格《麦田里的守望者》 10.米兰·昆德拉《生命中不能承受之轻》,0
101,【高清图：南京遭暴雨袭击多处道路积水】17日至18日凌晨，南京遭暴雨袭击，大部分地区降水量达50毫米以上，市区多处道路积水，影响市民出行。当地气象台昨日发布暴雨橙色预警信号，预计强降水仍将持续。http://t.cn/a9cNYe,0
102,凤姐和陈冠希的对话！转的时候已经被删除了！幸好拍下来了！哈哈搞笑！,1
103,【你睡觉的时候，有没有抽搐后突然踹了一下腿？告诉你真相】这叫肌抽跃——常在睡觉时发生，睡觉时呼吸频率降低的幅度太大，大脑会认为身体快要死亡了，所以它会发送一个脉冲使身体觉醒。常发生肌抽跃的人一定要注意了，这表明你这时的身体机能不是很好哦。,1
104,"【为了家人和朋友，转发】 如果你被匪徒挟持要求输入提款机密码，你可以用倒转输入密码的方式去间接知会警方。例如你的密码是1234的话,你可以输入4321，提款机会识别到你是以倒转方式输入密码，提款机会按你要求照出金额，但是会在匪徒不知情的情况下通知警方。",1
105,【健康】请注意：男人啤酒喝多了会女性化：啤酒中含有植物雌激素已非新观点，最新研究指出，植物雌激素会抑制男性睾丸分泌睾丸酮。简单来讲，植物雌激素可能使男性肌肉力量减弱、体毛减少、胡须脱落、乳房和臀部发育等，这些变化将会使男人看上去越来越像女人。,1
106,【令人战栗的格林童话：你没读过的初版原型】白雪公主是因为与父亲**，才招来王后的追杀；白雪公主逃入森林，夜夜与七个小矮人交欢；王子之所以爱上死去的公主，是因为他有恋尸癖…… 如果说以上桥段是还原人性真实面貌的“格林童话”，你相信吗？ http://t.cn/htUjYb,1
107,纪念下好几年前用的那台笔记本，ADOBE大赛赢来的，拿金笔直接画了外壳～,0
108,这纹身，能不这么犀利么？,0
109,又是一年高考结束，每年围绕高考总会发生很多小故事。一起分享你的高考故事吧。#那一年高考# “学大教育微小说”创意有奖活动正式开始！参与即有机会赢得价值百元的品牌便携运动水壶。关注 @学大教育 ，并转发此条微博，在评论中附上你的#那一年高考#微小说，即可参加活动。更多活动详情请见图片。,0
110,假如你想要一件东西，就放它走。它若能回来找你，就永远属于你；它若不回来，那根本就不是你的。——Y.M,0
111,【视频-C罗职业生涯任意球集锦 天王绝技演暴力美学】身体素质惊人、球技绝佳，左右脚均衡，就连头球不逊于高中锋……那么C罗的任意球技术又如何呢？答案当然不容置疑，皇马天王的任意球绝技不输给任何一位大师，一起欣赏一下C罗职业生涯的精彩任意球吧。http://t.cn/a9Qywy,0
112,这坑爹的键盘，你叫我怎么玩。。。,0
113,#动图#好奇心旺盛的猫头鹰~好可爱啊！[心],0
114,我从小怕老鼠，但是不怕蛇。后来，有位朋友知道此事，大为惊讶。我说，有什么好惊讶的，不是还有那么多人，某党治下都欢蹦乱跳的活着，反倒害怕什么“列强”么？,0
115,由Kunal Nayyar参演的CollegeHumor网站原创搞笑视频：http://t.cn/aK0SL3。Kunal在片中饰演一名成人网站的客服。提示：本片涉及成人话题。 [嘻嘻] PS：这是Kunal2010年的作品。CollegeHumor网址：http://t.cn/h6boli。这样的网站没被河蟹真是万幸啊。,0
116,【不能跟鸡肉搭配的食物】⑴芝麻（可导致死亡）；⑵地瓜（导致腹痛）；⑶消炎片（中毒）；⑷狗肾（引起痢疾）；⑸李子（食则拉痢）；⑹豆浆（降低蛋白质吸收）；⑺糯米（引起身体不适）；⑻菊花（可导致死亡）；⑼芥末（伤元气）；⑽大蒜（性味相克）；⑾鲤鱼（性味相克）；⑿鲫鱼（性味相克）,1
117,国际原子能机构即将把日本核电站灾害提升到人类史上未曾有过的“第八级”，超越过前苏联的切尔诺贝利核事故灾害。秘书长天野之弥认为，日本核电站的灾害，所喷出的辐射线量超越切尔诺贝利好几倍，如果光是以切尔诺贝利的七级来评比日本的核事故，不足以凸显日本核事故的严重性。微评：日本政府难堪啊。,1
118,首都机场，这明明是西湖啊（via@kevinlou）,0
119,上海一男子向女朋友求婚遭拒。 该女子一天晚上在西餐厅看到顾客留言本，突发奇想，留言：***，如果你能找到这条留言，我就嫁给你。本来以为事情就这么过去，结果这条留言恰巧被另一微博控发现，上传微博，经万人传播，该男子居然找到了这条留言，女子也欣然答应了求婚。 [爱你]好浪漫啊！,1
120,【男女能对视五秒者可以考虑结婚】《科学美国人》杂志报道，一组人体生理研究报告表明，男女如果对视少于1秒钟，说明相互没有好感；对视2秒钟，表明存在好感；对视3秒钟，可能是情愫暗生；对视4秒钟，表明其感情深厚；对视5秒钟及以上者，就已经到了步入婚姻殿堂的阶段。,1
121,全特么是《中国达人秀》节目组造假~~乌达木 http://t.cn/aCZWgn  [泪] 赔！！！,1
122,【国家整顿快递业，为EMS上市造势？】继今年3月取缔17家快递企业后，国家邮政局24日又将56家未经许可经营快递业务的企业取缔，涉及中通快递、申通快递、韵达快递等多家大型快递企业，其中中通12家，申通10家，韵达7家，圆通3家。6月3日，有报道称EMS已启动IPO程序，难道是为上市保驾护航？,0
123,都是孙子，咋境界就这么不一样捏？,0
124,【30年前的6月27日】中国共产党中央委员会通过《关于建国以来党的若干历史问题的决议》，正式否定文化大革命。陈云对毛泽东的评价是：建党有份，建国有功，治国无能，文革有罪。如果说中国共产党是毛泽东缔造的，那么李大钊和陈独秀的地位怎么说？所以只能说他有份。,1
125,如果匹诺曹说“我的鼻子会变长”，那么会发生什么？,0
126,【小白区】有一种生活叫做艰辛——临清街头实拍:在网上看完无数的帅哥和美女，看完那些早已处理得分不清真假的图片后，我们还是一起来看看一些更为真实的东西吧。6月23日上午，义乌商贸城附近，天空飘洒着细雨。一个中年妇女和一个女童在马路上发现被车碾压过的方便面后，详细： http://t.cn/aCuv0U,0
127,北海市委常委、政法委书记  莫亦翔，是不是这厮？？？,0
128,某银行职员收到短信“请把钱汇到指定账号上”！他就按照账号每次汇出1分钱，便从收款人账户扣掉2元，连续汇出大概1元多钱，这时，终于收到收款人发来信息：“别再汇款了，已经扣掉200多了，你是内行吧！叫我们怎么生活呀！”（注意：汇款时请选择“收款人支付手续费”，每笔2元,1
129,【技术贴：黑幕揭秘！烂石头如何变翡翠玉镯全过程(实拍组图)】  很多朋友对翡翠的知识并不是太了解，钱打水漂了事还小，但是戴在身上的假玉，却是会长期释放毒素及放射性元素的高致癌化学“宝贝”。看看不良商贩是怎样把石头变翡翠。知识贴，必看！点击看详细组图：   http://t.cn/appvHk,1
130,【拍死正在吸血的蚊子可致人死亡】《新英格兰医学杂志》提醒：被打烂的蚊子尸体残骸可能进皮肤，从而引起真菌感染，甚至会导致死亡！美国一名57岁的妇女就因肌肉真菌感染死亡。研究人员推测是打烂后的蚊子尸体残骸进入皮肤造成感染。专家提醒，当发现蚊子在吸血时，最好轻轻将蚊子弹走。,1
