id,text
26,【据说新浪微博要开启最近访客功能】你妹!以后让我怎么看男友，前男友，前前男友，男友前女友，前男友现女友，前前男友暧昧对象，男友勾搭对象，前前男友老情人的微博啊！让我怎么看我讨厌的人，我讨厌的人喜欢的人，我以前讨厌的人，讨厌我的人，讨厌我的人喜欢的人，不愿关注却天天看得人的微博啊！
27,浪浪你真的要开启微博可查看最近访客功能了么。。。。。。（丁一晨DYC）
28,【社会生活】#十动然拒# 全班29名男生为挽留唯一女生遭拒后集体自杀 武汉科技大学2012级采矿班共30人，其中男生29人，惟一的女生是毫无争议的班花。而学期开学班花提出转业，29名男生集体写情书挽留班花，班花十分感动，但为了前途还是拒绝并转走了，酿成了此次集体自杀的悲剧http://t.cn/zYFzRzl
29,浪浪你真的要开启微博可查看最近访客功能了么。。。。。。(via丁一晨DYC)
30,央视《焦点访谈》关于共和国脊梁评选活动造假之事采访民政部门领导，手腕打上了马赛克！这是为毛？手腕上长了不宜少儿的豪乳？还是戴了不宜人肉的豪表？央视：你不仅是在遮官丑，你还在出你娘的自丑啊！！！
31,【非可靠消息】据说过几天微博会出现访问记录功能，亲们，颤抖吧！~[转发]【转】
32,浪浪你真的要开启微博可查看最近访客功能了么。。。。。。（via 丁一晨DYC）
33,浪浪你真的要开启微博可查看最近访客功能了么。。。。。。（via：丁一晨DYC） @丁一晨DYC丁小点漫画集
34,@清風攬月 洛阳市委书记侄子砍死人判三缓三，老人北京上访被抓，在北京黑监狱20年受尽虐待。20年当中家人不知道其在哪，老子侄子在郑州沿街乞讨四处寻找老人，警察二十四小时监管老人上下三代，政府部门官官相护搞得老人家破人亡，老人被逼上绝境唯有通过这种方式申冤（牡丹公园门口）。
35,小浪，你真的要开启“最近访客功能”了吗？那我以后怎么看女友、前女友、前前女友、女友的前男友、女友前男友的现女友、前女友的现男友、前前女友的暧昧对象、现女友的勾搭对象，以及那些我讨厌的人、讨厌我的人、我以前讨厌的人、我不愿关注却天天偷看的人。你妹啊！你告诉我怎么看？怎。么。看！[哼]
36,【20日，洛阳一名约50岁裸女站在一辆法院的车上大喊“苍天啊”，引发市民围观与。据说该女子弟弟被法院人员杀害，上诉多年，但是多部门一直推诿扯皮。无奈之下，只好出此下策。】------、点！“该有多大的绝望、有多大的冤屈才能让一个母亲不顾尊严、不顾羞耻而这样做！”@杂谈五味 @观点联播V
37,#最近访客#预计有此功能后，会出现以下不和谐现象1：男女盆友发现，你答应ta不再来往的人，竟还在微博上频繁互动2：原本把微博当吐槽树洞，结果被吐槽对象从你们共同朋友滴微博上顺藤摸瓜抓到你3：穿马甲开的微博失效，访客给你做了实名认证4：大家群体呼吁微博请留一点… 我点评了http://t.cn/zYVBeNo
38,@走上街头 【汕头村民护土地 手脚被打断后遭淋汽油烧死】3月18日，广东汕头市潮南区雷岭镇东新村村民张海荣反抗土地强征，被村干部带人打断手脚后淋汽油焚烧，伤重不治身亡，他的两名儿子也被打伤住院。（图片残忍。慎入！）@摆古论今 @二黑媳妇 @徐昕 @聚贤德之淋 @敏奇敏奇@薛蛮子 @长江直播@谓贤
39,小浪，你真的要开启#最近访客#功能了吗？那我以后怎么看女友、前女友、前前女友、女友的前男友、女友前男友的现女友、前女友的现男友、前前女友的暧昧对象、现女友的勾搭对象，以及那些我讨厌的人、讨厌我的人、我以前讨厌的人、我不愿关注却天天偷看的人。你妹啊！你告诉我怎么看？怎。么。看！ [哼]
40,这是一位94岁的老奶奶，老伴死了，两个儿子在外打工，每天捡垃圾捡到凌晨两点，不足五点又要去捡，每天只赚5、6块，生病了也不去医院。每转一次腾讯公益就会给她一毛钱，不勉强，有良心的人自然会转。帮帮这位可怜的老人吧，若觉得脏了你的微信可不转！
41,"【地球都哭了！！请为一个喊冤的老妇人转发！】20日河南洛阳,57岁的妇人孙爱云脱光衣服站在法院的车上喊冤。20年前她的弟弟被杀害,凶手至今逍遥法外,她自己反而因告状而多次被拘留劳教。http://t.cn/zYkTaxM ——是什么！让一个普通公民被逼用撕破自己尊严来抗议不公！？[泪]有心者,请您帮她转发扩散下"
42,【京HL2021 想火就帮帮你喽】北京，一名外国大姐挡在一辆驶入非机动车道的京HL2021车前，微笑着劝说司机回到机动车道去，司机先是鸣喇叭，再谩骂，后推搡，要老外让开，老外坚持着不让。司机最后夺过自行车丢在了路边，在非机动车道上扬长驶去。围观的国人在边上笑看不知所措的外国大姐.....
43,【洛阳妇人裸体 喊冤 哭喊 苍天啊】3月20日河南洛阳西苑路，一位女子站在法院车顶高呼喊冤，引起众人围观。据知情人介绍，该女子弟弟多年前被一法院人员杀害，后欲3万元私了，该女子家庭不同意，一直上诉，但是多部门一直推诿扯皮。据悉：昨晚再次在家门口被警方传询......
44,3月20日，河南洛阳，57岁的妇人孙爱云脱光衣服站在法院的车上喊冤。20年前她的弟弟被杀害，凶手至今逍遥法外，她自己反而因为告状而多次被拘留劳教。在一个号称盛世的时代，一个普通的公民被逼用撕破自己尊严的方式抗议不公，这是我们每一个人的耻辱。@南京蒋玲 @饮水谈史 @长江直播
45,【这是一个外国人无法理解的国家】北京，一名外国大姐挡在一辆驶入非机动车道的京HL2021车前，微笑着劝说司机回到机动车道去，司机先是鸣喇叭，再谩骂，后推搡，要老外让开，老外坚持着不让。司机最后夺过自行车丢在了路边，在非机动车道上扬长驶去。围观的国人在边上笑看不知所措的外国大姐....（转）
46,一定不去电影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！！作为中国人，敢不敢让贞子3D 5月12日票房为零。 朋友们，必须转起转起！！！
47,@疯人言论：河南官员把拆迁户孩子扔下楼，父亲跪地崩溃！（你再删，我再发，大家都转起来！）
48,请大家一定别进影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！ 我在:http://t.cn/zYFskOc
49,"有人说微博上有两种特别的人,他们会把你所有的微博都一一看完,包括评论的内容,他们会时刻关注着你微博的更新,但是从来都不会留言,第一种是默默喜欢着你的人,第二种是恨你入骨的人,而这些人马上都会现身了,传说过几天微博就会有访客记录,到时候我也不用活了~"
50,【无惧跨省！愤然转帖！】河南洛阳市委书记侄子砍死人，判三缓三，老人北京上访被抓，黑监狱20年受尽虐待。20年当中家人不知所踪，老人侄子在郑州沿街乞讨四处寻人。官官相护，搞得老人家破人亡。老妇人被逼绝境，拦住法警车，裸体喊冤求关注。这究竟是个法治社会，还是丛林社会？弱势群体怎么活？
51,【这是一个外国人无法理解的国家】北京，一名外国大姐挡在一辆驶入非机动车道的京HL2021车前，微笑着劝说司机回到机动车道去，司机先是鸣喇叭，再谩骂，后推搡，要老外让开，老外坚持着不让。司机最后夺过自行车丢在了路边，在非机动车道上扬长驶去。围观的国人在边上笑看不知所措的外国大姐.....转
52,【震惊！让中国人无地自容的情景】一车牌为“京HL2021”轿车驶入非机动车道后，被一外国妇女挡住！她微笑着劝说司机回到机动车道！司机按喇叭！破口谩骂再推搡！老外坚持不让！司机夺过自行车，丢到路边！在非机动车道上扬长而去！国人在边上笑看不知所措老外。而老外在笑看中国人没素质。via麻辣聚焦
53,这是一位94岁的老奶奶，老伴死了，两个儿子在外打工，每天捡垃圾捡到凌晨两点，不足五点又要去捡，每天只赚5、6块，生病了也不去医院。每转一次腾讯公益就会给她一毛钱，不勉强，有良心的人自然会转。帮帮这位可怜的老人吧，若觉得脏了你的微博可以不转！
54,河南官员把拆迁户孩子扔下楼，父亲跪地崩溃！（你再删，我再发，大家都转起来！）via：@疯人言论
55,【这是一个外国人无法理解的国家】北京，一名外国大姐挡在一辆驶入非机动车道的汽车前，微笑着劝司机回到机动车道去，司机先是鸣喇叭，再谩骂，后推搡，要老外让开，老外坚持着不让。司机最后夺过自行车丢在了路边，在非机动车道上扬长驶去。围观的国人在边上笑看不知所措的外国大姐.... via@i彭三金
56,【这是一个外国人无法理解的国家】北京，一名外国大姐挡在一辆驶入非机动车道的京HL2021车前，微笑着劝说司机回到机动车道去，司机先是鸣喇叭，再谩骂，后推搡，要老外让开，老外坚持着不让。司机最后夺过自行车丢在路边，在非机动车道上扬长驶去。围观的国人在边上笑看不知所措的外国大姐....（转）
57,他是一普通屠夫，卖肉的，被人看上了摊位，然后开始被工商税务城管卫生防疫等部门找茬儿，他一不上访，二不喊冤，直接操刀就剁，死伤的都是这些部门欺负过他的人，杀的这些人的家属吓得都躲进派出所。被抓后他只有一件事说后悔：没杀干净他们。
58,1949年，中国的人均收入是韩国的3倍，比日本略高。但经过63年“翻天覆地”的增长，据2008年数据：韩国已是我们的29倍，日本是我们的33倍！够令人震惊吧！ 美国总统奥巴马日前接受采访说：中国人的平均生活水平大致相当于美国1910年的标准。但是其官员的生活水平超越美国50年。
59,通知：5.12一定不去影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！！作为中国人，敢不敢让贞子3D 5月12日票房为零。 朋友们，必须转起转起
60,北京出了这号畜生，百度车牌前仨字自动出来了。 http://t.cn/zTPVuz4
61,【芙蓉溪惊现男尸，死者被割喉挖肾】传闻，今天在黄家坝芙蓉溪附近，一位老大爷钓鱼时发现一具男尸，年龄二十岁左右，尸体开始腐烂。目前，绵阳师范学院正在清查在校男生数量。据说，死者被割喉挖肾！！！@平安绵阳
62,北京爷们儿，牛树亭！[弱] @大学生讲坛 @费明微博 @但斌 @徐昕 @北京厨子 @袁裕来律师
63,@东风周密 @政经观察员范利祥 @杜艳 :全国人口普查最新结果公布：惊人！ 网上接连爆出“房姐”、“房妹”、“房叔”、“房婶”事件后，公安部对“房事”涉及的户籍管理问题展开彻查。经过全国56.71万管理户籍的民警48小时彻夜核查，发现重叠户口3.5亿多，其中最多的一人同时拥有176个不同城镇的户口。
64,！【李天一取保获释！】李双江----戏子将军再次搞定中国法律！
65,求证：@鱼天余地 爆料：全国人口普查最新结果公布：惊人！ 网上接连爆出“房姐”、“房妹”、“房叔”、“房婶”事件后，公安部对“房事”涉及的户籍管理问题展开彻查。经过全国56.71万管理户籍的民警48小时彻夜核查，发现重叠户口3.5亿多，其中最多的一人同时拥有176个不同城镇的户口。 [吃惊]
66,今天台湾地震把厦门一高层震歪了！台湾震中的楼没歪，厦门的楼被震歪了，这叫啥事，且看政府和专家又有何雷人解释？[抓狂][抓狂] @阅读社会 @作家-天佑 @任卫新
67,【求证】@孙小宁在三月_: 全国人口普查最新结果公布：惊人！ 网上接连爆出“房姐”、“房妹”、“房叔”、“房婶”事件后，公安部对“房事”涉及的户籍管理问题展开彻查。经过全国56.71万管理户籍的民警48小时彻夜核查，发现重叠户口3.5亿多，其中最多的一人同时拥有176个不同城镇的户口。
68,和尚给失足妇女开光。释永信给美国人杨澜等开光是否也是如此
69,海关总署中国电子口岸数据中心单一来源采购IBM中高端设备维保服务，600亿人民币！！！维保服务600亿？懂这行的人评价下。请看中国政府采购网公示：http://t.cn/zT7ipvh @李承鹏 你怎么看？
70,这两个女婴是被人贩子带上火车，后被乘警发现解救下来的，目前在昆明附近安宁的一家医院中，已经做过检查，身体健康，此微博有两个目的：1• 寻亲，请大家帮忙转发，帮助两个女婴寻找亲生父母。2• 如寻亲未果，寻领养。（只需动动手，孩子就多一个机会！）
71,"全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份微博的人,能够转发十份给其他人,肯定至少有一条生命将会被挽救回来,请转发！"
72,上海地铁2号线晚22点左右，这小孩唯一不同其它的是，他根本不会去要钱，只是捧着杯子一直往前走，眼睛里充满无辜与渴望，特别可怜。此时欲收工，杯子好像是被粘在手上的，杯子拿下来时，明显感觉特别疼；该男不停责骂。确定这不是一位父亲。这孩子白白嫩嫩的，一看是娇生惯养，是不是被拐卖了？！
73,这就是种水螳螂，生活在下水道中，以老鼠为食。头部有剧毒，为河豚的2-3倍。中毒后无解，只能保守治疗。中毒后五年存活率为0.032。没要小心！
74,【4月起上海交通卡扩大异地使用范围】自4月18日起，南昌、永州、葫芦岛、锦州、江油、抚顺、昆山、江阴、淮安这九个城市加入交通卡互联互通的系统。这意味着连同第一批的7个城市，上海交通卡将可在16座城市使用。需要提醒的是，在这些城市必须使用以C或U开头的交通卡（via@上海轨道交通俱乐部）
75,5月12日不要去电影院      请大家一定别进影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！作为中国人，敢不敢让贞子3D 5月12日票房为零。
76,【4月起学生火车票将暂停半价优惠[蜡烛]】从铁路部门了解，凭学生证购买半价火车票的优惠到本月底截止。从4月份起，大中专院校的学生持学生证买火车票暂时无法享受半价优惠。[话筒]终于，终于，涨价开始了！！从学生开始，[怒]从娃娃着手[怒]！@刘刚吃亏是福 @杂谈五味 @丰乳肥臀v @论史者 @元芳时评
77,前天下午发生在下伍堡的事情，这名天真无邪的小孩失踪了，父母欲哭无泪，请看到的朋友相互转告「轉發」…定有重谢…電话：137-7489-5533。动动你的手指，也许可以拯救一个小孩，一个家庭。  @宝贝回家 @晋江陈志东 @泉州公安 @微博打拐
78,"最近出现骗子让单独带孩子的家长帮忙照相，当家长拿着相机拍照的时候就会出现眩晕。然后孩子就被抱走了。沈阳出现两起了。请告诉周围妈妈们注意！ 如果愿意， 把这条信息发给你知道的群。现在丢一个孩子会要了一个家庭的命,请为了儿童转发！功德无量！这个必须转!@宋伟微博"
79,"全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份微博的人,能够转发十份给其他人,肯定至少有一条生命将会被挽救回来,请转发！"
80,【央视员工爆料：广西惊现帝王局长】广西都安民政局长黄某一个人吃着509份底保，九套房子，6个老婆。三老婆刘茹跟人偷情被局长打，不服，报料：各位后宫电话：江素：15078554853黄鹂：18777887596张晓：15078070889阿萍：13478865543丽丽：13877860659第二轮反腐开始，大家速速顶起
81,【人肉馅饼，此起彼伏】云南信息报30日报道 网友给本报记者爆料称，今上午湖北巴东一维权农民遭罐车碾压尸首不全。据目击者李先生介绍，事发地在巴东县沿渡河镇西边淌村宜巴高速29标段，属人为指使。以往当地有类似事件。微评：中国人的公民权利就是靠这种螳臂当车的勇气一点一点争取的。
82,@烂片通缉令 @六六 通知：5月12一定不去影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！！作为中国人，敢不敢让贞子3D 票房为零。
83,#生活热点# 【信不信由你】如果你被匪徒挟持要求输入提款机密码， 你可以用倒输入密码的方式去间接报警。例如你的密码是123456的話，你可以输入654321，提款机会识别到你是以倒输方式输入密码，提款机会按你要求吐出金额，但是会在匪徒不知情的情況下通知警方！ 請尽可能告诉給每一個人~~~~~~~~~
84,#生活热点# 【信不信由你】如果你被匪徒挟持要求输入提款机密码， 你可以用倒输入密码的方式去间接报警。例如你的密码是123456的話，你可以输入654321，提款机会识别到你是以倒输方式输入密码，提款机会按你要求吐出金额，但是会在匪徒不知情的情況下通知警方！ 請尽可能告诉給每一個人~~~~~~~~~
85,各位注意：5月12日不要去电影院。 请大家一定别进影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！！作为中国人，敢不敢让贞子3D 5月12日票房为零
86,这是一位94岁的老奶奶，老伴死了，两个儿子在外打工，每天捡垃圾捡到凌晨两点，不足五点又要去捡，每天只赚5、6块，生病了也不去医院。每转一次腾讯公益就会给她一毛钱，不勉强，有良心的人自然会转。帮帮这位可怜的老人吧，若觉得脏了你的微信可不转！http://t.cn/zjeR9ON
87,【不该忘记】邹小帛举报公安副局长腐败被枪 杀、蒋卫锁揭露三鹿毒奶而被死亡、曝光地沟油李翔被乱刀砍 死、药品打假第一人高敬德进派出所离奇死亡。请牢记英雄！清明快到来，不该忘记他们。[蜡烛]
88,在工信部，运营商双重压力下，小马哥最终没能顶住，微信收费将于7月1日开始，收费标准信息5分/条，语音1毛/条，按这样的标准有多少人会放弃微信，微信也被虚拟运营商的帽子给压弯了腰，为何有组织插手的地方永远都是一地鸡毛。求（转）
89,#微信收费标准# 在工信部，运营商双重压力下，小马哥最终没能顶住，微信收费将于7月1日开始，收费标准信息5分/条，语音1毛/条，按这样的标准有多少人会放弃微信？其实中国人的微信使用已经包含了流量费，如果微信收费那么微博没理由不收费。大家转起来，让那些眼馋着不该眼馋的人士无地自容[弱]
90,在工信部，运营商双重压力下，小马哥最终没能顶住，微信收费可能将于7月1日开始，收费标准信息5分/条，语音1毛/条，按这样的标准有多少人会放弃微信？其实中国人的微信使用已经包含了流量费，如果微信收费那么微博没理由不收费。微信如果收费了，大家还用么？
91,#微信收费标准# 在工信部，运营商双重压力下，小马哥最终没能顶住，微信收费将于7月1日开始，收费标准信息5分/条，语音1毛/条，按这样的标准有多少人会放弃微信？其实中国人的微信使用已经包含了流量费，如果微信收费那么微博没理由不收费。大家转起来，让那些眼馋着不该眼馋的人士无地自容。
92,#微信收费标准# 在工信部，运营商双重压力下，小马哥最终没能顶住，微信收费将于7月1日开始，收费标准信息5分/条，语音1毛/条，按这样的标准有多少人会放弃微信？其实中国人的微信使用已经包含了流量费。老百姓真的是伤不起啊！！！
93,#微信收费标准# 在工信部，运营商双重压力下，小马哥最终没能顶住，微信收费将于7月1日开始，收费标准信息5分/条，语音1毛/条，按这样的标准有多少人会放弃微信？其实中国人的微信使用已经包含了流量费，如果微信收费那么微博没理由不收费。大家转起来，让那些眼馋着不该眼馋的人士无地自容[弱]
94,最新内部消息：中移动已确认将对微信收费，从今年9月1日起，移动对微信单独计费，分为包月和实时流量计算两种方式，包月费用为10元，流量计费的具体政策还在商议中。内线透露，联通会跟微信合作，可能继续免费，据说联通准备对新用户赠送每月500兆流量。电信收不收费还不好说。总之，移动用户悲催了！
95,律师称：女方改口自愿，李天一将无罪释放。（腾讯网）
96,想狠狠地爆粗口。。。[吐][吐][吐][吐][吐]申纪兰大妈开微博又吐神仙语啦！！！！！！！！！！！！！！[黑线][生病][衰][鄙视][泪][抓狂] @杨长庚 @司令本 @V微动力 @杂谈五味 @袁裕来律师 @人权监察员 @中国微闻 @饮水居士 @观点联播V @真相聚焦 @志士仁心 @经典传奇X @摆古论今
97,最新消息，高通宣布收购AMD。
98,据传移动9月1日开始对微信微博进行收费：1、包月10元/月；2、按收发条数收费，100条以下免费，100-600条5元，600-1200条10元，超过1200条每条0.02元。联通暂不针对微信等产品收费，将对新入网用户赠送为期一年免费流量，每个送500M的国内流量，超出部分按0.0003元/KB收费。又传电信正在积极接洽微信。
99,"4月2日，沈阳一群汉服党身穿汉服,到北陵皇太极陵前祭拜."
100,传言！不知真假！中国著名表演艺术家、中国一级演员 赵本山 于2013年4月3日晚23时在北京协和医院突发心肌梗塞，由于抢救不及时身亡，享年64岁。　　　[蜡烛][蜡烛][蜡烛][蜡烛][蜡烛][蜡烛][蜡烛]　　　　 　　 　　　　 　　　　
101,传言！中国著名表演艺术家、中国一级演员 赵本山 于2013年4月3日晚23时在北京协和医院突发心肌梗塞，由于抢救不及时身亡，享年64岁。　　　[蜡烛][蜡烛][蜡烛][蜡烛][蜡烛][蜡烛][蜡烛]　　　　 　　 　　　　 　　　　
102,【高考阅卷老师冒死揭露内幕】新浪博友@波涛万顷 ：一位参加过高考阅卷的教师，为我们揭露了阅卷中不为人知的内幕真相！让我们惊讶于一个如此重要的、决定一个学生前途命运的考试，其分数竟然是在这样难以想象的粗放流程中产生的！！！我们想问一句，到底有多少学生，是这样被耽误的？？？
103,据传移动9月1日开始对微信微博进行收费：1、包月10元/月；2、按收发条数收费，100条以下免费，100-600条5元，600-1200条10元，超过1200条每条0.02元。联通暂不针对微信等产品收费，将对新入网用户赠送为期一年免费流量，每个送500M的国内流量，超出部分按0.0003元/KB收费。又传电信正在积极接洽微信。
104,【传移动9月1日开始对微信微博进行收费】1、包月10元/月；2、按收发条数收费，100条以下免费，100-600条5元，600-1200条10元，超过1200条每条0.02元。联通暂不针对微信等产品收费，将对新入网用户赠送为期一年免费流量，每个送500M的国内流量，超出部分按0.0003元/KB收费。又传电信正在积极接洽微信。
105,第一次听到这个事情是成都一个女孩子说的，当时她机灵，就逃脱了厄运，今早看到另一个女孩子，被这么惨绝人寰地方法夺走了肾脏。。。女孩们一定要小心。危险无处不在
106,#微信收费# 网上热传，微信收费将于7月1日开始，收费标准信息5分条，语音1毛条。如果是真的，你还会用吗？[泪]
107,再爆【河南许昌房屋遭强拆 20岁少女讨说法被扒光上衣受辱】 河南许昌市东城区“恒达·名门尚居”强拆现场，禽兽拆迁人员扒掉戚小芳（22岁）的上衣羞辱。记者连线打人者，打人者称：“我以一个共产党员保证，没有打她。”戚小芳报案，警方也不给任何说法。
108,赵小平 这是一个邪恶的社会吗？河南强拆：22岁少女讨说法被禽兽马路上扒光衣裳示众。河南许昌房屋遭强拆 20岁少女讨说法被扒光上衣受辱 河南许昌市东城区“恒达·名门尚居”强拆现场，禽兽拆迁人员扒掉戚小芳（22岁）的上衣羞辱。记者连线打人者，打人者称... http://t.cn/zTyjcXF
